H10,H11,H1,H3,H4,H5,H6,H7,H8,H9,MP,N1,N2,N3,N4,N5,N6,N7,N8,N9,NP,NS,PA,PB1,PB2
,,,,,EPI_ISL_697907|1833247|H5N6|2.3.4.4h|HA|2019-01-26|Asia/China|chicken|chicken|Domestic,,,,,,,,,,,EPI_ISL_7036|60867|H6N6|na|NA|2002-08-29|NorthAmerica/UnitedStates|anasplatyrhynchos|mallard|Wild,,,,,,,,
,,,,,EPI_ISL_697985|1826095|H5N6|2.3.4.4h|HA|2018-09-24|Asia/China|chicken|chicken|Domestic,,,,,,,,,,,EPI_ISL_698070|1825321|H5N6|2.3.4.4h|NA|2019-02-22|Asia/China|chicken|chicken|Domestic,,,,,,,,
,,,,,EPI_ISL_4063426|1898084|H5N1|2.2.2.1|HA|2009-05-25|Asia/Bangladesh|chicken|chicken|Domestic,,,,,,,,,,,EPI_ISL_697885|1827841|H5N6|2.3.4.4h|NA|2018-03-07|Asia/China|chicken|chicken|Domestic,,,,,,,,
,,,,,EPI_ISL_344526|1381434|H5N8|NA|HA|2017-02-16|Africa/Egypt|duck|duck|Domestic,,,,,,,,,,,EPI_ISL_697991|1826169|H5N6|2.3.4.4h|NA|2018-09-24|Asia/China|chicken|chicken|Domestic,,,,,,,,
,,,,,EPI_ISL_698013|1828023|H5N6|2.3.4.4h|HA|2018-07-26|Asia/China|chicken|chicken|Domestic,,,,,,,,,,,,,,,,,,,
,,,,,EPI_ISL_697908|1833263|H5N6|2.3.4.4h|HA|2019-01-26|Asia/China|chicken|chicken|Domestic,,,,,,,,,,,,,,,,,,,
,,,,,EPI_ISL_698170|1833207|H5N6|NA|HA|2019-01-26|Asia/China|chicken|chicken|Domestic,,,,,,,,,,,,,,,,,,,
,,,,,EPI_ISL_697991|1826167|H5N6|2.3.4.4h|HA|2018-09-24|Asia/China|chicken|chicken|Domestic,,,,,,,,,,,,,,,,,,,
,,,,,EPI_ISL_697901|1833223|H5N6|2.3.4.4h|HA|2019-01-26|Asia/China|chicken|chicken|Domestic,,,,,,,,,,,,,,,,,,,
,,,,,EPI_ISL_698070|1825319|H5N6|2.3.4.4h|HA|2019-02-22|Asia/China|chicken|chicken|Domestic,,,,,,,,,,,,,,,,,,,
